rule_id,base_rule_id,title,status,severity,detail
META_001,META_001,Rapor tarih üçlüsü,missing,major,"bulunan: {'talep': False, 'kesif': False, 'rapor': False}, tarih_sayısı: 2"
META_002:RaporNo,META_002,Rapor ve talep kimliği → RaporNo,missing,major,
META_002:TalepNo,META_002,Rapor ve talep kimliği → TalepNo,missing,major,
META_002:TalepEdenBirim,META_002,Rapor ve talep kimliği → TalepEdenBirim,missing,major,
META_002:MusteriAdi,META_002,Rapor ve talep kimliği → MusteriAdi,missing,major,
KONUM_001,KONUM_001,Konum/CBS (desteklenmeyen type: geo_required),present,major,
TAPU_001:Tür|Tur,TAPU_001,Takyidatlı tapu kaydı → kolon Tür|Tur,missing,critical,
TAPU_001:Alacaklı|Alacakli|Alicakli,TAPU_001,Takyidatlı tapu kaydı → kolon Alacaklı|Alacakli|Alicakli,present,critical,
TAPU_001:Tutar|Bedel,TAPU_001,Takyidatlı tapu kaydı → kolon Tutar|Bedel,missing,critical,
TAPU_001:Yevmiye No|YevmiyeNo|Yevmiye,TAPU_001,Takyidatlı tapu kaydı → kolon Yevmiye No|YevmiyeNo|Yevmiye,missing,critical,
TAPU_001:Tarih,TAPU_001,Takyidatlı tapu kaydı → kolon Tarih,present,critical,
TAPU_002:Malikler,TAPU_002,Mülkiyet ve hisse → Malikler,missing,major,
TAPU_002:HisseOranlari,TAPU_002,Mülkiyet ve hisse → HisseOranlari,missing,major,
TAPU_002:Yuzolcumu,TAPU_002,Mülkiyet ve hisse → Yuzolcumu,missing,major,
ADA_PARSEL_001,ADA_PARSEL_001,Ada/Parsel,present,major,
IMAR_001,IMAR_001,İmar durumu,present,critical,
IMAR_002:KAKS,IMAR_002,Yapılaşma koşulları → KAKS,missing,minor,
IMAR_002:TAKS,IMAR_002,Yapılaşma koşulları → TAKS,missing,minor,
IMAR_002:Hmax,IMAR_002,Yapılaşma koşulları → Hmax,missing,minor,
RUHSAT_001,RUHSAT_001,Ruhsat–iskan–proje uyumu,present,critical,TYPE=doc_triplet_match (kısmi kontrol)
DURUM_001,DURUM_001,Yasal vs Mevcut durum karşılaştırması,present,critical,TYPE=compare_required (kısmi kontrol)
DEGER_001,DEGER_001,Değerleme yöntemi ve gerekçesi,present,major,
EMSAL_001,EMSAL_001,Emsal seti (>=3),wrong,major,"adet=0, min=3"
EMSAL_002:Adres,EMSAL_002,Emsal kolonları → kolon Adres,missing,major,
EMSAL_002:Mesafe,EMSAL_002,Emsal kolonları → kolon Mesafe,missing,major,
EMSAL_002:m2,EMSAL_002,Emsal kolonları → kolon m2,present,major,
EMSAL_002:BirimDeger,EMSAL_002,Emsal kolonları → kolon BirimDeger,missing,major,
EMSAL_002:Duzeltmeler,EMSAL_002,Emsal kolonları → kolon Duzeltmeler,missing,major,
EMSAL_002:Kaynak,EMSAL_002,Emsal kolonları → kolon Kaynak,missing,major,
GELIR_001:DolulukOrani,GELIR_001,Gelir yöntemi girdileri → DolulukOrani,missing,major,
GELIR_001:NetKira,GELIR_001,Gelir yöntemi girdileri → NetKira,missing,major,
GELIR_001:CapOraniVeyaIskonto,GELIR_001,Gelir yöntemi girdileri → CapOraniVeyaIskonto,missing,major,
GELIR_001:Giderler,GELIR_001,Gelir yöntemi girdileri → Giderler,missing,major,
MALIYET_001:YapimBirimMaliyeti,MALIYET_001,Maliyet yöntemi verileri → YapimBirimMaliyeti,missing,minor,
MALIYET_001:YipranmaOrani,MALIYET_001,Maliyet yöntemi verileri → YipranmaOrani,missing,minor,
MALIYET_001:ArsaPayi,MALIYET_001,Maliyet yöntemi verileri → ArsaPayi,missing,minor,
SIGORTA_001,SIGORTA_001,Sigorta değeri,missing,major,TYPE=separate_calc (kısmi kontrol)
NİHAİ_001:YasalDurumDegeri,NİHAİ_001,Nihai değerler → YasalDurumDegeri,missing,critical,
NİHAİ_001:MevcutDurumDegeri,NİHAİ_001,Nihai değerler → MevcutDurumDegeri,missing,critical,
KANAAT_001:Kanaat,KANAAT_001,Satışa elverişlilik kanaati → Kanaat,missing,major,
KANAAT_001:Gerekce,KANAAT_001,Satışa elverişlilik kanaati → Gerekce,missing,major,
KANAAT_001:OngorulenSatisSuresiGun,KANAAT_001,Satışa elverişlilik kanaati → OngorulenSatisSuresiGun,missing,major,
RISK_001:deprem_bolgesi,RISK_001,Deprem ve kentsel dönüşüm → deprem_bolgesi,missing,major,
RISK_001:kentsel_donusum,RISK_001,Deprem ve kentsel dönüşüm → kentsel_donusum,missing,major,
RISK_002:5403,RISK_002,Özel kısıtlar (tarım/sit/koruma) → 5403,optional_absent,minor,
RISK_002:3083,RISK_002,Özel kısıtlar (tarım/sit/koruma) → 3083,optional_absent,minor,
RISK_002:sit_koruma,RISK_002,Özel kısıtlar (tarım/sit/koruma) → sit_koruma,optional_absent,minor,
RISK_002:doga_koruma,RISK_002,Özel kısıtlar (tarım/sit/koruma) → doga_koruma,optional_absent,minor,
YIKIM_001,YIKIM_001,Yıkım kararı olan yapılar (detay yükümlülükleri),missing,major,TYPE=composite_presence (kısmi kontrol)
EKLER_001:DisFoto,EKLER_001,Ek zorunlu: DisFoto,missing,major,
EKLER_001:IcFoto,EKLER_001,Ek zorunlu: IcFoto,missing,major,
EKLER_001:TapuSureti,EKLER_001,Ek zorunlu: TapuSureti,missing,major,
EKLER_001:TakyidatYazisi,EKLER_001,Ek zorunlu: TakyidatYazisi,missing,major,
EKLER_001:KrokiUydu,EKLER_001,Ek opsiyonel: KrokiUydu,optional_absent,major,
EKLER_001:ImarDurumYazisi,EKLER_001,Ek opsiyonel: ImarDurumYazisi,optional_absent,major,
EKLER_001:Ruhsat,EKLER_001,Ek opsiyonel: Ruhsat,optional_absent,major,
EKLER_001:Iskan,EKLER_001,Ek opsiyonel: Iskan,optional_absent,major,
EKLER_001:OnayliProje,EKLER_001,Ek opsiyonel: OnayliProje,optional_absent,major,
EKLER_001:KadastroPaftasi,EKLER_001,Ek opsiyonel: KadastroPaftasi,optional_absent,major,
BIÇIM_001:date,BIÇIM_001,Tarih formatı (kaba),present,major,
BIÇIM_001:tckn_regex,BIÇIM_001,TODO desteklenecek: tckn_regex,present,major,
BIÇIM_001:area_positive,BIÇIM_001,TODO desteklenecek: area_positive,present,major,
BIÇIM_001:percent_range,BIÇIM_001,TODO desteklenecek: percent_range,present,major,
BIÇIM_001:currency_present,BIÇIM_001,TODO desteklenecek: currency_present,present,major,
BIÇIM_001:forbid_terms,BIÇIM_001,Yasaklı ifade,present,major,
ARSA_001,ARSA_001,İmar çapı,present,major,
ARSA_002:KAKS,ARSA_002,İmar lejantı → KAKS,missing,major,
ARSA_002:TAKS,ARSA_002,İmar lejantı → TAKS,missing,major,
ARSA_002:Hmax,ARSA_002,İmar lejantı → Hmax,missing,major,
ARSA_003:YolaCephe,ARSA_003,Yola cephe ve parselasyon → YolaCephe,missing,minor,
ARSA_003:ParselasyonIslemleri,ARSA_003,Yola cephe ve parselasyon → ParselasyonIslemleri,missing,minor,
